4	40																																						
1	0.47	0.008	0.000002	40	15	30	0	2.235	0.006	3.3	6.00E-07	100	1.90E-03	7	0.5	0.07	0.03	0.07	0.25	0.7	250000	15	5	3.88E-08	6.73E-08	1	6.73E-08	1	0	6.98E-09	0.0002	0.2	0.95	0.4	1000	15	1	6.73E-08	1
2	0.47	0.005	1.80E-06	250	15	30	0	2.235	0.006	3.3	9.00E-07	300	0.001	7	2.25	0.07	0.022	0.07	0.25	0.7	220000	15	5	5.49E-09	6.73E-08	1	6.73E-08	1	0	6.98E-09	6.24E-05	0.1	0.95	0.4	4000	15	0	0	0
3	0.47	0.005	1.80E-06	100	15	30	0	2.235	0.006	3.3	9.00E-07	300	0.001	7	2.25	0.07	0.022	0.07	0.25	0.7	220000	15	5	5.49E-09	6.73E-08	1	6.73E-08	1	0	6.98E-09	6.24E-05	0.1	0.95	0.4	4000	15	0	0	0
4	0.47	0.008	0.000002	40	15	30	0	2.235	0.006	3.3	6.00E-07	100	1.90E-03	7	0.5	0.07	0.03	0.07	0.25	0.7	220000	15	5	3.88E-08	6.73E-08	1	6.73E-08	1	0	6.98E-09	0.0002	0.2	0.95	0.4	1000	15	1	6.73E-08	1
numSpecs	NumParams																																						
ID	NPPoGPP	Gs_max	CnpQEff	MaxAge	Topt	Tmax	Tmin	AllocLeaf_a	AllocLeaf_b	AllocStem_a	AllocStem_b	Gs_light	Gs_vpd	LWP_d	LWP_c	WiltPnt	SLA	SRA	Crown/Stem	TrShp	WoodDens	Fhdmax	Fhdmin	TurnovL	TurnovL_MWS	TurnovL_WSc	TurnovL_MTS	TurnovL_TSc	ColdStress_c	TurnovR	CWS_max	Albedo	Emissivity	KBeers	WUE_cnp	Kroot	isGrass	TurnovL_DGr	TurnovL_DGrT
