ncols         22
nrows         30
xllcorner     442449.229
yllcorner     5798066.25
cellsize      500
NODATA_value  -9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	2	4	1	2	-9999	3	2	3	2	1	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	2	1	2	2	2	2	6	2	3	2	3	2	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	6	3	2	2	4	2	2	4	3	1	3	6	2	4	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	3	6	2	1	4	2	2	3	2	4	2	2	2	4	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	3	2	2	4	7	6	3	3	2	1	3	1	4	4	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	6	6	2	4	2	2	2	2	1	2	1	9	8	4	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	6	2	1	2	2	3	2	2	4	1	4	8	8	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	2	2	2	2	1	4	4	4	7	7	-9999	8	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	3	2	2	2	1	4	2	4	1	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	6	2	2	6	2	4	7	4	4	2	1	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	6	2	1	6	2	4	4	8	4	4	2	2	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	6	1	2	8	2	4	2	2	2	4	2	1	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	2	2	1	7	1	3	2	1	1	7	2	2	4	2	1	-9999
-9999	-9999	-9999	-9999	-9999	2	2	1	4	8	8	4	1	4	7	1	2	1	2	1	4	-9999
-9999	-9999	-9999	-9999	-9999	6	2	2	2	4	2	8	3	2	4	3	2	1	4	4	-9999	-9999
-9999	-9999	-9999	-9999	6	3	2	4	7	3	1	4	8	2	7	4	1	7	4	-9999	-9999	-9999
-9999	-9999	-9999	-9999	3	2	2	8	8	4	4	1	1	1	4	7	9	8	7	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	3	2	4	4	2	8	1	4	8	4	-9999	8	7	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	8	2	1	2	2	4	4	7	2	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	2	1	4	2	4	2	4	1	4	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	1	1	2	1	2	1	4	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	2	1	4	2	1	1	1	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	2	1	2	3	2	2	1	2	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	6	6	6	2	3	1	2	1	1	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	9	8	8	2	1	2	4	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	7	9	5	4	4	7	7	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	8	8	7	7	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	8	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
